"","Cenario.x","Replicacao","Soma_DespesaTurnoverDescontado.x","Soma_DespesaAbsenteismoDescontado.x","Soma_DespesaMultasDescontado.x","Soma_DespesaAcoesRegressivasINSSDescontado.x","Soma_DespesaFAPDescontado.x","Soma_DespesasImagemContratacaoDescontado.x","Soma_DespesasReabilitacaoDescontado.x","Soma_DespesasPlanodeSaudeDescontado.x","Soma_DespesasReclamatoriasDescontado.x","Soma_DespesasClimaDescontado.x","Soma_DespesasMedicasDescontado.x","Soma_DespesasRefugoERetrabalhoDescontado.x","Soma_DespesasMPInsumosDescontado.x","Soma_DespesaPresenteismoDescontado.x","Soma_DespesasInterrupcaoAcidentesDescontado.x","Soma_DespesasInterdicaoFiscalizacaoDescontado.x","Soma_GanhoQualidadeDescontado.x","Soma_GanhoProdutividadeDescontado.x","Cenario.y","Soma_DespesaTurnoverDescontado.y","Soma_DespesaAbsenteismoDescontado.y","Soma_DespesaMultasDescontado.y","Soma_DespesaAcoesRegressivasINSSDescontado.y","Soma_DespesaFAPDescontado.y","Soma_DespesasImagemContratacaoDescontado.y","Soma_DespesasReabilitacaoDescontado.y","Soma_DespesasPlanodeSaudeDescontado.y","Soma_DespesasReclamatoriasDescontado.y","Soma_DespesasClimaDescontado.y","Soma_DespesasMedicasDescontado.y","Soma_DespesasRefugoERetrabalhoDescontado.y","Soma_DespesasMPInsumosDescontado.y","Soma_DespesaPresenteismoDescontado.y","Soma_DespesasInterrupcaoAcidentesDescontado.y","Soma_DespesasInterdicaoFiscalizacaoDescontado.y","Soma_GanhoQualidadeDescontado.y","Soma_GanhoProdutividadeDescontado.y","CustoTotalCBR","BeneficioTurnover","BeneficioAbsenteismo","BeneficioMultas","BeneficioAcoesRegressivasINSS","BeneficioFAP","BeneficioImagemContratacao","BeneficioReabilitacao","BeneficioPlanodeSaude","BeneficioReclamatorias","BeneficioClima","BeneficioDespesasMedicas","BeneficioRefugoERetrabalho","BeneficioMPInsumos","BeneficioPresenteismo","BeneficioInterrupcaoAcidentes","BeneficioInterdicaoFiscalizacao","BeneficioGanhoQualidade","BeneficioGanhoProdutividade","BeneficioTotalCBR","RazaoBeneficioCusto"
"42","ASIS",42,-30367.2786135192,-3426124.29818845,-90468.2547530491,-281818.181818182,-5367531.84077504,-33756.8134627906,-3831.3650980905,-10057.8575757576,-10004.495799874,-3795.9098266899,-57439.9565423617,-61294.8423518196,-60288.7934031169,-6918.59964803083,-48592.7142107242,-41260.1851844198,0,0,"Iniciativa1",-12266.8330283934,-2063550.90267028,0,-95454.5454545454,-5367531.84077504,-10636.3628338279,0,-10034.2727272727,-577.564719713444,-1533.35412854917,-17399.6173333944,-23094.6566850564,-22872.0891599291,-3472.95531360442,-14467.9863449249,-11619.5070345638,5742.99662336573,1906.48743246141,95454.5454545454,18100.4455851258,1362573.39551816,90468.2547530491,186363.636363636,0,23120.4506289627,3831.3650980905,23.5848484848484,9426.93108016059,2262.55569814073,40040.3392089672,38200.1856667632,37416.7042431878,3445.64433442642,34124.7278657992,29640.678149856,5742.99662336573,1906.48743246141,1886688.38309864,19.7653068705572
"43","ASIS",43,-30737.5523610767,-3451149.48217669,-90661.2016204954,-281818.181818182,-5367531.84077504,-34145.6660889236,-3833.05749868034,-10058.5757575758,-9807.92987061742,-3842.19404513459,-57255.0145811482,-60381.5844759597,-60725.1858220287,-6904.01799260839,-49593.3575144467,-42789.9880300873,0,0,"Iniciativa1",-12141.1887037629,-2069140.85936006,0,-95454.5454545454,-5367531.84077504,-10561.6768352122,0,-10034.2090909091,-587.030767858082,-1517.64858797037,-17476.8150718646,-22893.0123197626,-22876.9428830365,-3434.13353850874,-14688.9419078948,-11994.1002052311,5720.99132021143,1924.74410443115,95454.5454545454,18596.3636573138,1382008.62281663,90661.2016204954,186363.636363636,0,23583.9892537114,3833.05749868034,24.3666666666668,9220.89910275933,2324.54545716422,39778.1995092836,37488.5721561971,37848.2429389922,3469.88445409965,34904.4156065519,30795.8878248562,5720.99132021143,1924.74410443115,1908547.62035168,19.9943084036843
"44","ASIS",44,-30620.928151078,-3430041.92315072,-90926.6356025178,-281818.181818182,-5367531.84077504,-33410.101247951,-3803.68918112194,-10058.6424242424,-9804.20399967665,-3827.61601888475,-56627.0815705832,-61375.1349863373,-61175.4407129114,-6930.9866989209,-49729.342093951,-42016.7281707604,0,0,"Iniciativa1",-12091.3136381508,-2055489.90241464,0,-95454.5454545454,-5367531.84077504,-10583.1697315236,0,-10033.9212121212,-587.007983040076,-1511.41420476885,-17120.2901033622,-22958.2310462511,-23154.8637559506,-3486.14333551123,-14655.8104817292,-11835.5466639184,5810.41833403078,1907.24026354841,95454.5454545454,18529.6145129272,1374552.02073607,90926.6356025178,186363.636363636,0,22826.9315164274,3803.68918112194,24.7212121212124,9217.19601663657,2316.2018141159,39506.791467221,38416.9039400862,38020.5769569608,3444.84336340967,35073.5316122218,30181.181506842,5810.41833403078,1907.24026354841,1900922.1343999,19.9144223603799
"45","ASIS",45,-30771.0577624453,-3473165.79427763,-90311.7848477653,-281818.181818182,-5367531.84077504,-34090.7628379569,-3827.7534466018,-10059.1939393939,-9722.76440033119,-3846.38222030566,-57592.8886081305,-60681.4931107368,-60246.8615041323,-6918.72335107758,-50749.4172711166,-42058.0369976346,0,0,"Iniciativa1",-12170.6805193571,-2053790.64860825,0,-95454.5454545454,-5367531.84077504,-10595.8296875208,0,-10034.0212121212,-582.378382352441,-1521.33506491963,-17167.6955682155,-22828.9116387886,-22680.0576002951,-3441.59377045774,-14414.380515039,-11616.1065608241,5760.986652017,1898.94741722654,95454.5454545454,18600.3772430882,1419375.14566938,90311.7848477653,186363.636363636,0,23494.9331504361,3827.7534466018,25.1727272727276,9140.38601797875,2325.04715538603,40425.193039915,37852.5814719482,37566.8039038372,3477.12958061984,36335.0367560776,30441.9304368105,5760.986652017,1898.94741722654,1947222.84588,20.3994774330286
"46","ASIS",46,-30802.1825267848,-3437881.56601293,-90430.9500687688,-281818.181818182,-5367531.84077504,-33358.9567088867,-3819.61817620128,-10057.7787878788,-9873.14177374707,-3850.2728158481,-56996.1083242404,-60582.8384745298,-60888.7584683411,-6926.4188033373,-49226.5339387498,-42793.3399430934,0,0,"Iniciativa1",-12145.5160253491,-2072938.9936741,0,-95454.5454545454,-5367531.84077504,-10816.0103290749,0,-10034.2424242424,-582.329038375185,-1518.18950316864,-17174.2385151351,-23095.7663157664,-23009.7435053899,-3447.56700394883,-14506.1107687314,-11811.5241318858,5694.0539285186,1901.28778002333,95454.5454545454,18656.6665014357,1364942.57233882,90430.9500687688,186363.636363636,0,22542.9463798118,3819.61817620128,23.5363636363636,9290.81273537189,2332.08331267946,39821.8698091054,37487.0721587634,37879.0149629512,3478.85179938847,34720.4231700184,30981.8158112076,5694.0539285186,1901.28778002333,1890367.21166034,19.8038469792988
"47","ASIS",47,-30101.3876581372,-3433022.91793179,-90386.4981601983,-281818.181818182,-5367531.84077504,-33695.3998351917,-3816.3135862157,-10058.3909090909,-9923.79304153014,-3762.67345726715,-56746.3228382987,-60898.4421504905,-61669.7887362538,-6914.85246841302,-48516.1266776332,-41108.4772769444,0,0,"Iniciativa1",-12206.6416372398,-2056568.52120678,0,-95454.5454545454,-5367531.84077504,-10579.9927936742,0,-10034.0212121212,-579.393269116942,-1525.83020465497,-17061.2550733669,-23033.8440556906,-22809.9532897468,-3398.63230954279,-14512.3741346455,-11824.6662317647,5703.01223178046,1884.5349728243,95454.5454545454,17894.7460208974,1376454.39672501,90386.4981601983,186363.636363636,0,23115.4070415175,3816.3135862157,24.3696969696975,9344.3997724132,2236.84325261217,39685.0677649318,37864.5980947999,38859.835446507,3516.22015887023,34003.7525429877,29283.8110451797,5703.01223178046,1884.5349728243,1900437.44287735,19.9093446396675
"48","ASIS",48,-30801.2196259628,-3484440.03564044,-90554.0061684653,-281818.181818182,-5367531.84077504,-34061.671276977,-3799.57769742602,-10058.796969697,-9775.05057430111,-3850.15245324535,-57452.8619050151,-60627.2049509406,-61337.6706035902,-6840.2233615311,-50025.4727765164,-41998.3425673545,0,0,"Iniciativa1",-12209.9520023035,-2065059.73205899,0,-95454.5454545454,-5367531.84077504,-10677.9269986951,0,-10034.296969697,-581.303003387643,-1526.24400028794,-17128.0595964818,-22914.402433668,-22726.7231754064,-3440.88931252192,-14485.9307940201,-11721.8825799779,5710.40056831783,1932.58614392247,95454.5454545454,18591.2676236593,1419380.30358145,90554.0061684653,186363.636363636,0,23383.7442782819,3799.57769742602,24.5,9193.74757091347,2323.90845295741,40324.8023085333,37712.8025172726,38610.9474281839,3399.33404900917,35539.5419824963,30276.4599873766,5710.40056831783,1932.58614392247,1947121.5667219,20.3984164132771
"49","ASIS",49,-30322.1171974661,-3476356.74706613,-90455.1361197898,-281818.181818182,-5367531.84077504,-33976.1404418138,-3818.15318654096,-10058.7272727273,-9832.58713840876,-3790.26464968326,-58003.9279003654,-61023.8953145437,-61018.8484457524,-6915.1493491261,-49461.5996003227,-42099.296473902,0,0,"Iniciativa1",-12223.6591409796,-2065165.95293269,0,-95454.5454545454,-5367531.84077504,-10669.0623590203,0,-10034.1696969697,-574.987840679299,-1527.95739262246,-17257.2980180076,-23061.6476749831,-22961.0634239549,-3470.08985840253,-14540.3849100195,-11812.2291126237,5756.65341169294,1898.98704107283,95454.5454545454,18098.4580564864,1411190.79413344,90455.1361197898,186363.636363636,0,23307.0780827935,3818.15318654096,24.5575757575753,9257.59929772946,2262.3072570608,40746.6298823578,37962.2476395606,38057.7850217976,3445.05949072357,34921.2146903032,30287.0673612784,5756.65341169294,1898.98704107283,1937853.36461202,20.3013209626021
"50","ASIS",50,-30653.2365504486,-3470694.08504803,-91174.5547809659,-281818.181818182,-5367531.84077504,-34029.4758889005,-3828.34715881539,-10058.796969697,-9844.8163167239,-3831.65456880608,-57386.2429926123,-61164.0874996249,-61326.4321408364,-6872.74723384456,-49858.1204933751,-42473.7806246617,0,0,"Iniciativa1",-12238.8571887864,-2060818.86500578,0,-95454.5454545454,-5367531.84077504,-10665.7466142637,0,-10034.1060606061,-585.247863325324,-1529.8571485983,-17161.3343786223,-22947.3916228009,-23083.208245151,-3433.63982548768,-14374.0798553152,-11709.6325266326,5717.23964456168,1925.0911821992,95454.5454545454,18414.3793616622,1409875.22004226,91174.5547809659,186363.636363636,0,23363.7292746368,3828.34715881539,24.6909090909103,9259.56845339858,2301.79742020778,40224.90861399,38216.695876824,38243.2238956854,3439.10740835688,35484.0406380599,30764.1480980291,5717.23964456168,1925.0911821992,1938620.37912238,20.3093563527106
"51","ASIS",51,-30731.1717887299,-3452686.41491333,-90384.7088890573,-281818.181818182,-5367531.84077504,-33390.2942070903,-3839.91159746043,-10057.6515151515,-9837.47318936968,-3841.39647359123,-56340.3743236781,-60254.7413909879,-60866.6557167242,-6912.55197446466,-49934.8992923444,-42789.9995200361,0,0,"Iniciativa1",-12127.478683586,-2081159.75447162,0,-95454.5454545454,-5367531.84077504,-10717.4995898646,0,-10034.4909090909,-583.154662337816,-1515.93483544825,-17222.4202937567,-22778.850119802,-23204.3304257484,-3415.01774259605,-14380.2848831514,-11458.4590776758,5768.91618216967,1909.26393521684,95454.5454545454,18603.6931051438,1371526.6604417,90384.7088890573,186363.636363636,0,22672.7946172257,3839.91159746043,23.1606060606064,9254.31852703187,2325.46163814298,39117.9540299214,37475.8912711859,37662.3252909757,3497.53423186861,35554.614409193,31331.5404423602,5768.91618216967,1909.26393521684,1897312.38557835,19.8766059441542
"52","ASIS",52,-30597.5162831937,-3457688.81009769,-90871.5889761059,-281818.181818182,-5367531.84077504,-33567.9579584877,-3796.17010019726,-10058.5393939394,-9747.55318150983,-3824.68953539921,-57644.8198811721,-60410.5911398592,-61259.5494517153,-6848.20289172138,-49754.5861501759,-42728.2187243678,0,0,"Iniciativa1",-12355.2959275641,-2072494.10146635,0,-95454.5454545454,-5367531.84077504,-10604.020109746,0,-10034.6272727273,-582.326733088762,-1544.41199094551,-17160.5226353321,-22954.2795673292,-22776.2658344756,-3427.78596990691,-14625.2329825782,-12078.6157857115,5736.59163025633,1906.85692439802,95454.5454545454,18242.2203556296,1385194.70863134,90871.5889761059,186363.636363636,0,22963.9378487417,3796.17010019726,23.9121212121208,9165.22644842107,2280.2775444537,40484.2972458401,37456.3115725301,38483.2836172397,3420.41692181447,35129.3531675977,30649.6029386563,5736.59163025633,1906.85692439802,1912168.39240807,20.0322403014179
"53","ASIS",53,-31039.6106720318,-3420960.47435649,-90658.5888169542,-281818.181818182,-5367531.84077504,-33860.94533145,-3815.80095073408,-10058.3363636364,-9647.1088590318,-3879.95133400398,-57172.8850006885,-60782.4343858029,-60568.5002454595,-6906.21606877546,-49170.6972324443,-42265.5919249092,0,0,"Iniciativa1",-12296.4679093491,-2056914.95973746,0,-95454.5454545454,-5367531.84077504,-10678.2183814861,0,-10034.0606060606,-580.458664832943,-1537.05848866864,-17286.318645575,-22857.9241106855,-23077.5016390118,-3448.86727324314,-14273.4916490685,-11734.209356041,5716.30345051418,1929.37887312857,95454.5454545454,18743.1427626827,1364045.51461904,90658.5888169542,186363.636363636,0,23182.7269499639,3815.80095073408,24.2757575757569,9066.65019419885,2342.89284533534,39886.5663551135,37924.5102751174,37490.9986064477,3457.34879553232,34897.2055833758,30531.3825688682,5716.30345051418,1929.37887312857,1890076.92376821,19.800805868048
"54","ASIS",54,-30583.1727110217,-3428194.67254347,-90564.247220145,-281818.181818182,-5367531.84077504,-33589.3615274513,-3815.17103418243,-10057.996969697,-9741.41664942897,-3822.89658887772,-56994.4314088765,-60800.8347531059,-61647.1259697267,-6779.51913726455,-48869.9931327914,-41592.8010669183,0,0,"Iniciativa1",-12342.8748109418,-2059431.58718362,0,-95454.5454545454,-5367531.84077504,-10639.7535902611,0,-10033.9,-585.444105410442,-1542.85935136772,-17073.1653206972,-23015.7852161442,-22723.4784885324,-3439.83219207095,-14361.5542840771,-11632.6686580121,5707.98365345785,1909.17227840872,95454.5454545454,18240.2979000799,1368763.08535985,90564.247220145,186363.636363636,0,22949.6079371902,3815.17103418243,24.0969696969696,9155.97254401853,2280.03723750999,39921.2660881793,37785.0495369617,38923.6474811942,3339.68694519361,34508.4388487143,29960.1324089062,5707.98365345785,1909.17227840872,1894211.52980733,19.8441207884577
"55","ASIS",55,-30658.1358477846,-3427904.24085494,-90510.0391921017,-281818.181818182,-5367531.84077504,-34077.4628586362,-3808.95289742285,-10058.1848484848,-9764.20590726058,-3832.26698097308,-56910.3945856943,-60704.3710524201,-60361.1543609655,-6883.00016909989,-48920.4875203474,-41765.5629729592,0,0,"Iniciativa1",-12151.2681781305,-2086311.49623815,0,-95454.5454545454,-5367531.84077504,-10709.9418186477,0,-10034.4878787879,-579.831697204953,-1518.90852226631,-17061.895360994,-22890.5084827372,-22979.4160126503,-3401.21538403117,-14371.5603968447,-11562.8378191131,5640.58613450858,1912.06930219336,95454.5454545454,18506.8676696541,1341592.74461679,90510.0391921017,186363.636363636,0,23367.5210399885,3808.95289742285,23.69696969697,9184.37421005563,2313.35845870677,39848.4992247003,37813.8625696829,37381.7383483152,3481.78478506871,34548.9271235028,30202.7251538461,5640.58613450858,1912.06930219336,1866501.38405987,19.5538240234844
"56","ASIS",56,-30870.2035660229,-3417001.92018062,-90675.9382141213,-281818.181818182,-5367531.84077504,-33843.1660724033,-3843.95490552669,-10057.7151515152,-9811.92310692533,-3858.77544575286,-57769.2742193468,-61304.5589955082,-61640.298464476,-6847.37254926646,-49601.564391926,-41574.5202063988,0,0,"Iniciativa1",-12139.4852540145,-2066873.25292071,0,-95454.5454545454,-5367531.84077504,-10575.9318084441,0,-10034.1151515152,-590.146124546397,-1517.43565675182,-16976.5781729673,-23024.563503808,-23220.1753149963,-3416.60617429103,-14427.5093581486,-11752.2139030771,5741.42262620734,1906.74919482327,95454.5454545454,18730.7183120083,1350128.66725991,90675.9382141213,186363.636363636,0,23267.2342639592,3843.95490552669,23.5999999999985,9221.77698237893,2341.33978900104,40792.6960463795,38279.9954917001,38420.1231494797,3430.76637497543,35174.0550337774,29822.3063033216,5741.42262620734,1906.74919482327,1878164.9803112,19.6760140794507
