"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"97";"ASIS";161;0;0;0;0;-408392,132216591;0;0;-134274,505381088;0;0;-5962,04248377486;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437461,336609334;0;0;-160353,803808055;0;0;-9495,71170872509;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-29069,2043927435;0;0;-26079,2984269668;0;0;-3533,66922495024;0;0;0;0;0;0;0;0;-58682,1720446606;-0,355161942585505
"98";"ASIS";161;0;0;0;0;-408392,132216591;0;0;-134274,505381088;0;0;-5962,04248377486;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437461,336609334;0;0;-153039,438266568;0;0;-8506,57507239956;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;-29069,2043927435;0;0;-18764,9328854799;0;0;-2544,53258862471;0;0;0;0;0;0;0;0;-50378,6698668481;-4,16238924813153
"99";"ASIS";171;0;0;0;0;-437477,849200966;0;0;-133535,306955998;0;0;-17918,1284294592;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437477,849200966;0;0;-160353,803808055;0;0;-19109,4757879197;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-26818,496852057;0;0;-1191,34735846052;0;0;0;0;0;0;0;0;-28009,8442105175;-0,169523900269979
"100";"ASIS";171;0;0;0;0;-437477,849200966;0;0;-133535,306955998;0;0;-17918,1284294592;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437477,849200966;0;0;-153039,438266568;0;0;-17118,9053933447;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-19504,1313105701;0;0;799,223036114454;0;0;0;0;0;0;0;0;-18704,9082744557;-1,54543796600146
"101";"ASIS";177;0;0;0;0;-437474,012817776;0;0;-152088,887730555;0;0;-20329,6694920839;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437474,012817776;0;0;-160353,803808055;0;0;-21854,7670442429;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-8264,91607750006;0;0;-1525,09755215904;0;0;0;0;0;0;0;0;-9790,0136296591;-0,059252071583207
"102";"ASIS";177;0;0;0;0;-437474,012817776;0;0;-152088,887730555;0;0;-20329,6694920839;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437474,012817776;0;0;-153039,438266568;0;0;-19578,2288104676;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-950,55053601315;0;0;751,440681616263;0;0;0;0;0;0;0;0;-199,109854396887;-0,0164508654025424
"103";"ASIS";180;0;0;0;0;-449127,931560841;0;0;-127540,070435336;0;0;-26680,7217216595;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437489,131748198;0;0;-160353,803808055;0;0;-21941,8191966285;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;11638,7998126429;0;0;-32813,7333727187;0;0;4738,90252503096;0;0;0;0;0;0;0;0;-16436,0310350449;-0,0994757437805733
"104";"ASIS";180;0;0;0;0;-449127,931560841;0;0;-127540,070435336;0;0;-26680,7217216595;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437489,131748198;0;0;-153039,438266568;0;0;-19656,213030313;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;11638,7998126429;0;0;-25499,3678312318;0;0;7024,50869134643;0;0;0;0;0;0;0;0;-6836,05932724248;-0,564809271830891
"105";"ASIS";181;0;0;0;0;-437474,191228997;0;0;-153670,84595428;0;0;-26345,0101930162;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437474,191228997;0;0;-160353,803808055;0;0;-24516,9369039149;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-6682,95785377541;0;0;1828,07328910128;0;0;0;0;0;0;0;0;-4854,88456467413;-0,029383204011361
"106";"ASIS";186;0;0;0;0;-437483,331298827;0;0;-140315,981039129;0;0;-24792,6571891494;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437483,331298827;0;0;-160353,803808055;0;0;-23314,7892607965;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-20037,822768926;0;0;1477,8679283529;0;0;0;0;0;0;0;0;-18559,9548405731;-0,112330361774279
