"Cenario.x";"Replicacao";"Soma_DespesaTurnover.x";"Soma_DespesaAbsenteismo.x";"Soma_DespesaMultas.x";"Soma_DespesaAcoesRegressivasINSS.x";"Cenario.y";"Soma_DespesaTurnover.y";"Soma_DespesaAbsenteismo.y";"Soma_DespesaMultas.y";"Soma_DespesaAcoesRegressivasINSS.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"SemIniciativa";24;-53374,3724691293;-3428998,62249314;0;-99545,4545454545;"Iniciativa1";-30703,1399746765;-2758743,00761579;0;-70909,0909090909;95454,5454545454;22671,2324944528;670255,614877356;0;28636,3636363636;721563,211008172;7,55923363913323
"SemIniciativa";25;-53468,151371544;-3456165,79354578;0;-99545,4545454545;"Iniciativa1";-30343,2087208943;-2747102,03830485;0;-70909,0909090909;95454,5454545454;23124,9426506497;709063,755240927;0;28636,3636363636;760825,06152794;7,97054826362604
"SemIniciativa";26;-52896,4640320945;-3463661,0446912;0;-99545,4545454545;"Iniciativa1";-30617,6422687626;-2738620,30730897;0;-70909,0909090909;95454,5454545454;22278,8217633319;725040,737382229;0;28636,3636363636;775955,922781925;8,1290620481916
"SemIniciativa";27;-53139,9774487028;-3461558,32447858;0;-99545,4545454545;"Iniciativa1";-30467,2994036229;-2781417,05069204;0;-70909,0909090909;95454,5454545454;22672,6780450799;680141,273786548;0;28636,3636363636;731450,315467991;7,66281282871229
"SemIniciativa";28;-53324,2127575898;-3424784,00482199;0;-99545,4545454545;"Iniciativa1";-30665,4294176629;-2749713,56892099;0;-70909,0909090909;95454,5454545454;22658,7833399269;675070,435900992;0;28636,3636363636;726365,582877283;7,60954420157154
"SemIniciativa";29;-54133,2071526277;-3461750,37047944;0;-99545,4545454545;"Iniciativa1";-30663,3835671174;-2768469,58392462;0;-70909,0909090909;95454,5454545454;23469,8235855103;693280,786554812;0;28636,3636363636;745386,973776686;7,80881591575576
"SemIniciativa";30;-53644,2479681457;-3464225,96132185;0;-99545,4545454545;"Iniciativa1";-30553,5568515982;-2743517,08377646;0;-70909,0909090909;95454,5454545454;23090,6911165475;720708,877545388;0;28636,3636363636;772435,9322983;8,09218595741076
"SemIniciativa";31;-52609,2432533154;-3459537,7954263;0;-99545,4545454545;"Iniciativa1";-31162,7558484741;-2772571,53467564;0;-70909,0909090909;95454,5454545454;21446,4874048413;686966,260750663;0;28636,3636363636;737049,111791868;7,72146688543861
"SemIniciativa";32;-53123,509241773;-3489032,47685479;0;-99545,4545454545;"Iniciativa1";-30768,2181113644;-2756717,85094375;0;-70909,0909090909;95454,5454545454;22355,2911304086;732314,625911042;0;28636,3636363636;783306,280677814;8,2060657975771
"SemIniciativa";33;-53478,0446359881;-3457672,36528848;0;-99545,4545454545;"Iniciativa1";-30379,0973861515;-2762140,01499888;0;-70909,0909090909;95454,5454545454;23098,9472498366;695532,350289593;0;28636,3636363636;747267,661175794;7,82851835517498
