"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"115";"ASIS";58;0;-172776,879282992;0;0;-477598,722141943;0;0;-185218,234066911;0;0;-65878,9950254626;0;0;0;0;0;0;0;0;"Iniciativa1";0;-170683,171268118;0;0;-449142,510526352;0;0;-180766,395392455;0;0;-62295,3860660166;0;0;0;0;0;0;0;0;165226,520661157;0;2093,70801487367;0;0;28456,2116155914;0;0;4451,83867445539;0;0;3583,60895944597;0;0;0;0;0;0;0;0;38585,3672643665;0,233530108302023
"116";"ASIS";58;0;-172776,879282992;0;0;-477598,722141943;0;0;-185218,234066911;0;0;-65878,9950254626;0;0;0;0;0;0;0;0;"Iniciativa2";0;-154470,179088004;0;0;-449142,510526352;0;0;-167750,167507327;0;0;-58028,2550168434;0;0;0;0;0;0;0;0;12103,305785124;0;18306,7001949878;0;0;28456,2116155914;0;0;17468,0665595837;0;0;7850,74000861916;0;0;0;0;0;0;0;0;72081,718378782;5,95553972265799
"117";"ASIS";59;0;-140930,823804526;0;0;-437478,482385468;0;0;-143648,739101389;0;0;-19016,9951420104;0;0;0;0;0;0;0;0;"Iniciativa1";0;-138989,375011971;0;0;-437478,482385468;0;0;-137209,549892004;0;0;-17212,44962774;0;0;0;0;0;0;0;0;165226,520661157;0;1941,44879255569;0;0;0;0;0;6439,18920938481;0;0;1804,54551427038;0;0;0;0;0;0;0;0;10185,1835162109;0,0616437571611064
"118";"ASIS";59;0;-140930,823804526;0;0;-437478,482385468;0;0;-143648,739101389;0;0;-19016,9951420104;0;0;0;0;0;0;0;0;"Iniciativa2";0;-123265,642325176;0;0;-437478,482385468;0;0;-126932,461434611;0;0;-15131,5174588617;0;0;0;0;0;0;0;0;12103,305785124;0;17665,1814793505;0;0;0;0;0;16716,2776667784;0;0;3885,47768314867;0;0;0;0;0;0;0;0;38266,9368292776;3,16169297121378
"119";"ASIS";60;0;-152206,936969208;0;0;-449133,142394645;0;0;-151634,839148974;0;0;-36277,6659467732;0;0;0;0;0;0;0;0;"Iniciativa1";0;-150493,62501548;0;0;-449133,142394645;0;0;-147579,048563141;0;0;-34374,6769810708;0;0;0;0;0;0;0;0;165226,520661157;0;1713,31195372826;0;0;0;0;0;4055,79058583299;0;0;1902,98896570247;0;0;0;0;0;0;0;0;7672,09150526372;0,0464337775471135
"120";"ASIS";60;0;-152206,936969208;0;0;-449133,142394645;0;0;-151634,839148974;0;0;-36277,6659467732;0;0;0;0;0;0;0;0;"Iniciativa2";0;-134520,884333227;0;0;-449133,142394645;0;0;-136892,966513045;0;0;-31185,7768567521;0;0;0;0;0;0;0;0;12103,305785124;0;17686,0526359812;0;0;0;0;0;14741,8726359283;0;0;5091,88909002116;0;0;0;0;0;0;0;0;37519,8143619306;3,09996417739406
"121";"ASIS";61;0;-141543,740177634;0;0;-437470,733577625;0;0;-154803,156005665;0;0;-18162,6332189104;0;0;0;0;0;0;0;0;"Iniciativa1";0;-139913,236729353;0;0;-420023,572761004;0;0;-150608,576854476;0;0;-16563,6144479535;0;0;0;0;0;0;0;0;165226,520661157;0;1630,50344828138;0;0;17447,1608166207;0;0;4194,57915118968;0;0;1599,01877095693;0;0;0;0;0;0;0;0;24871,2621870487;0,150528269236233
"122";"ASIS";61;0;-141543,740177634;0;0;-437470,733577625;0;0;-154803,156005665;0;0;-18162,6332189104;0;0;0;0;0;0;0;0;"Iniciativa2";0;-123953,979681707;0;0;-420023,572761004;0;0;-139173,97285302;0;0;-14325,5114173012;0;0;0;0;0;0;0;0;12103,305785124;0;17589,7604959279;0;0;17447,1608166207;0;0;15629,1831526452;0;0;3837,12180160916;0;0;0;0;0;0;0;0;54503,226266803;4,5031685751336
"123";"ASIS";62;0;-143610,53533386;0;0;-437474,201663352;0;0;-154676,630918706;0;0;-20409,5083268022;0;0;0;0;0;0;0;0;"Iniciativa1";0;-141803,496783844;0;0;-420024,959995295;0;0;-147406,095259764;0;0;-18293,2353344756;0;0;0;0;0;0;0;0;165226,520661157;0;1807,03855001595;0;0;17449,2416680569;0;0;7270,53565894175;0;0;2116,27299232656;0;0;0;0;0;0;0;0;28643,0888693412;0,173356485113439
"124";"ASIS";62;0;-143610,53533386;0;0;-437474,201663352;0;0;-154676,630918706;0;0;-20409,5083268022;0;0;0;0;0;0;0;0;"Iniciativa2";0;-125960,372956795;0;0;-437474,201663352;0;0;-138595,356157055;0;0;-16356,7572179699;0;0;0;0;0;0;0;0;12103,305785124;0;17650,162377065;0;0;0;0;0;16081,2747616514;0;0;4052,75110883233;0;0;0;0;0;0;0;0;37784,1882475487;3,12180729119385
