"Cenario";"Simular";"CenarioASIS"
"SemIniciativa";TRUE;TRUE
"Iniciativa1";TRUE;FALSE
"Iniciativa2";FALSE;FALSE
"Iniciativa3";FALSE;FALSE
"Iniciativa4";FALSE;FALSE
"Iniciativa5";FALSE;FALSE
"Iniciativa6";FALSE;FALSE
"Iniciativa7";FALSE;FALSE
"Iniciativa8";FALSE;FALSE
"Iniciativa9";FALSE;FALSE
"Iniciativa10";FALSE;FALSE
"TodasIniciativas";FALSE;FALSE
